epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1945.05,1.21796,1.42744,1.49155,0.63335,0.57567,0.59574,0.4688,1.41351,1.66003,1.637,0.0004654,0.0004654,0.0004654
83,1968.67,1.19543,1.42512,1.47971,0.64669,0.57287,0.59596,0.46367,1.41647,1.66618,1.63475,0.0004588,0.0004588,0.0004588
84,1991.76,1.21028,1.43206,1.49269,0.62277,0.5631,0.58921,0.46249,1.41456,1.67567,1.62987,0.0004522,0.0004522,0.0004522
85,2015.21,1.1929,1.41458,1.48183,0.60108,0.5878,0.60362,0.47011,1.40958,1.6449,1.63478,0.0004456,0.0004456,0.0004456
86,2038.45,1.20263,1.40584,1.47836,0.66916,0.55531,0.59912,0.46435,1.41342,1.65349,1.63138,0.000439,0.000439,0.000439
87,2061.87,1.19866,1.41859,1.48133,0.63293,0.57455,0.59719,0.46863,1.41553,1.64915,1.63981,0.0004324,0.0004324,0.0004324
88,2085.01,1.19545,1.39343,1.47346,0.62593,0.59405,0.60046,0.46283,1.42263,1.65904,1.63765,0.0004258,0.0004258,0.0004258
89,2108.4,1.19121,1.38991,1.46493,0.64711,0.56202,0.59626,0.46682,1.41276,1.64733,1.63042,0.0004192,0.0004192,0.0004192
90,2131.91,1.197,1.38949,1.48007,0.64473,0.57848,0.59559,0.46687,1.40742,1.66231,1.63426,0.0004126,0.0004126,0.0004126
91,2155.31,1.16972,1.37622,1.45049,0.71445,0.57446,0.60622,0.47085,1.41257,1.62365,1.62811,0.000406,0.000406,0.000406
92,2178.54,1.17782,1.36276,1.46259,0.69054,0.57606,0.60355,0.47085,1.41035,1.63201,1.62515,0.0003994,0.0003994,0.0003994
93,2201.68,1.17979,1.3804,1.46876,0.64894,0.58122,0.59762,0.46729,1.40656,1.63648,1.6282,0.0003928,0.0003928,0.0003928
94,2224.75,1.18052,1.36112,1.45814,0.66755,0.56974,0.59859,0.46604,1.41807,1.64952,1.63268,0.0003862,0.0003862,0.0003862
95,2247.86,1.16805,1.35108,1.45493,0.65453,0.58342,0.60026,0.46701,1.41976,1.63387,1.63956,0.0003796,0.0003796,0.0003796
96,2271.06,1.16936,1.3497,1.457,0.62586,0.58137,0.59867,0.46973,1.41559,1.6363,1.62501,0.000373,0.000373,0.000373
97,2294.35,1.17862,1.36675,1.46023,0.66213,0.57282,0.6065,0.47439,1.40986,1.61621,1.63028,0.0003664,0.0003664,0.0003664
98,2317.62,1.16129,1.32052,1.44271,0.59904,0.60049,0.60092,0.47003,1.41862,1.63499,1.62768,0.0003598,0.0003598,0.0003598
99,2340.74,1.18068,1.35706,1.46631,0.6382,0.58009,0.60003,0.46893,1.42351,1.63476,1.6404,0.0003532,0.0003532,0.0003532
100,2363.82,1.13634,1.30192,1.43562,0.65276,0.57166,0.60009,0.47119,1.41013,1.62423,1.62431,0.0003466,0.0003466,0.0003466
101,2387.27,1.15647,1.32163,1.4442,0.63512,0.5807,0.5985,0.47267,1.40665,1.62416,1.62787,0.00034,0.00034,0.00034
102,2410.49,1.15384,1.32246,1.44156,0.64191,0.5777,0.59816,0.46842,1.40387,1.62807,1.61842,0.0003334,0.0003334,0.0003334
103,2433.43,1.14183,1.30352,1.42739,0.67923,0.5672,0.60057,0.47154,1.41469,1.6365,1.63142,0.0003268,0.0003268,0.0003268
104,2456.24,1.16799,1.32537,1.43835,0.63962,0.57424,0.60533,0.47401,1.41572,1.60404,1.63027,0.0003202,0.0003202,0.0003202
105,2479.56,1.14108,1.29371,1.42791,0.63118,0.5847,0.60201,0.47121,1.4205,1.61925,1.63305,0.0003136,0.0003136,0.0003136
