epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1631.94,1.09237,1.22986,1.45928,0.61975,0.62905,0.62276,0.48779,1.38797,1.55355,1.72344,0.0005182,0.0005182,0.0005182
75,1653.81,1.10306,1.26249,1.4616,0.62795,0.60962,0.61971,0.48531,1.37392,1.52668,1.71509,0.0005116,0.0005116,0.0005116
76,1675.29,1.10032,1.24,1.46319,0.63307,0.60432,0.62191,0.48539,1.3895,1.58205,1.73658,0.000505,0.000505,0.000505
77,1697.03,1.06953,1.1876,1.43235,0.64217,0.62476,0.62803,0.49155,1.36311,1.54097,1.71287,0.0004984,0.0004984,0.0004984
78,1719.13,1.0729,1.18201,1.43935,0.65263,0.61424,0.62887,0.4969,1.35579,1.52115,1.70058,0.0004918,0.0004918,0.0004918
79,1741.28,1.07067,1.20189,1.44118,0.64071,0.61347,0.6279,0.49007,1.36177,1.5265,1.71649,0.0004852,0.0004852,0.0004852
80,1762.89,1.075,1.18988,1.43621,0.64954,0.61741,0.62743,0.48931,1.38436,1.5244,1.72127,0.0004786,0.0004786,0.0004786
81,1784.53,1.08017,1.19754,1.44245,0.62819,0.63346,0.62688,0.49358,1.36453,1.53902,1.69729,0.000472,0.000472,0.000472
82,1806.22,1.05857,1.15567,1.42391,0.68252,0.60915,0.63263,0.49221,1.37218,1.54934,1.72664,0.0004654,0.0004654,0.0004654
83,1827.56,1.03609,1.13624,1.41266,0.63502,0.62402,0.63239,0.49425,1.36729,1.55965,1.71334,0.0004588,0.0004588,0.0004588
84,1849.26,1.04447,1.14451,1.42154,0.68093,0.6056,0.6397,0.50124,1.36825,1.52521,1.7124,0.0004522,0.0004522,0.0004522
85,1871.14,1.01636,1.10631,1.40056,0.65879,0.62235,0.6405,0.5006,1.35595,1.50736,1.71088,0.0004456,0.0004456,0.0004456
86,1892.77,1.0281,1.10658,1.39958,0.65328,0.64297,0.63837,0.49696,1.36945,1.51969,1.71546,0.000439,0.000439,0.000439
87,1914.6,1.02186,1.10901,1.40278,0.67584,0.61467,0.63908,0.4986,1.37522,1.49096,1.71829,0.0004324,0.0004324,0.0004324
88,1936.3,1.00605,1.08097,1.38192,0.63272,0.6444,0.6429,0.50155,1.35961,1.47691,1.70788,0.0004258,0.0004258,0.0004258
89,1958.67,1.01446,1.0774,1.38163,0.62155,0.64201,0.62696,0.48994,1.3802,1.53033,1.73287,0.0004192,0.0004192,0.0004192
90,1980.1,1.0005,1.06065,1.38109,0.70159,0.60701,0.64366,0.50041,1.38346,1.48912,1.73078,0.0004126,0.0004126,0.0004126
91,2001.96,0.97981,1.02436,1.3612,0.66944,0.62036,0.64054,0.5022,1.38325,1.48522,1.72072,0.000406,0.000406,0.000406
92,2023.64,0.98657,1.02933,1.36545,0.69962,0.60759,0.6379,0.50317,1.38808,1.5117,1.74,0.0003994,0.0003994,0.0003994
93,2045.61,0.96985,1.0186,1.36046,0.64806,0.6354,0.63796,0.50291,1.3723,1.48574,1.73663,0.0003928,0.0003928,0.0003928
94,2067.42,0.97208,1.00614,1.34896,0.66846,0.6356,0.64251,0.50443,1.38053,1.49304,1.73915,0.0003862,0.0003862,0.0003862
95,2089.71,0.95439,0.99112,1.34446,0.71281,0.61503,0.64818,0.50956,1.38033,1.47926,1.74315,0.0003796,0.0003796,0.0003796
96,2111.84,0.95504,0.98474,1.33676,0.69635,0.62032,0.64352,0.50424,1.37873,1.47267,1.73771,0.000373,0.000373,0.000373
97,2133.94,0.96326,0.98908,1.33678,0.65858,0.63152,0.6412,0.50253,1.38821,1.49327,1.74176,0.0003664,0.0003664,0.0003664
98,2155.86,0.94876,0.96808,1.32636,0.68269,0.6254,0.64194,0.5055,1.37484,1.49368,1.73174,0.0003598,0.0003598,0.0003598
99,2177.75,0.95275,0.97121,1.33472,0.65879,0.63784,0.63751,0.50295,1.36949,1.48613,1.73368,0.0003532,0.0003532,0.0003532
100,2199.42,0.92273,0.9261,1.31913,0.71829,0.61508,0.64487,0.50861,1.37451,1.49993,1.74395,0.0003466,0.0003466,0.0003466
101,2221.49,0.93135,0.94365,1.31894,0.67587,0.63665,0.64087,0.50879,1.34645,1.46496,1.70256,0.00034,0.00034,0.00034
102,2243.11,0.92877,0.9372,1.3152,0.70383,0.63381,0.6472,0.51163,1.36232,1.44755,1.73579,0.0003334,0.0003334,0.0003334
103,2265.22,0.91201,0.90799,1.29696,0.70181,0.63504,0.64648,0.50969,1.37196,1.4844,1.73769,0.0003268,0.0003268,0.0003268
104,2286.98,0.9237,0.92229,1.3039,0.73503,0.60155,0.64302,0.50616,1.36684,1.47383,1.72914,0.0003202,0.0003202,0.0003202
105,2308.7,0.90383,0.88879,1.28991,0.72573,0.60898,0.64922,0.51136,1.3749,1.47189,1.74271,0.0003136,0.0003136,0.0003136
106,2330.55,0.89413,0.88242,1.28628,0.67435,0.62348,0.64192,0.50775,1.40069,1.49097,1.76487,0.000307,0.000307,0.000307
107,2352.37,0.90352,0.88859,1.29074,0.69211,0.63113,0.64608,0.50707,1.38215,1.49219,1.75802,0.0003004,0.0003004,0.0003004
