epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,2095.49,0.95563,0.92501,1.31686,0.65827,0.61034,0.62238,0.49,1.51638,1.6151,1.86391,0.0003862,0.0003862,0.0003862
95,2117.69,0.95175,0.91295,1.31471,0.68065,0.59134,0.61583,0.48475,1.50849,1.65651,1.8507,0.0003796,0.0003796,0.0003796
96,2139.54,0.95216,0.91424,1.31398,0.6806,0.59366,0.62165,0.48645,1.52189,1.6264,1.85677,0.000373,0.000373,0.000373
97,2161.6,0.95033,0.90692,1.30752,0.64314,0.60739,0.62025,0.48327,1.52619,1.63266,1.87014,0.0003664,0.0003664,0.0003664
98,2183.99,0.94397,0.88451,1.29906,0.65297,0.60165,0.61403,0.48532,1.53012,1.64349,1.87104,0.0003598,0.0003598,0.0003598
99,2205.97,0.94632,0.90317,1.31077,0.63264,0.60485,0.61106,0.48371,1.51345,1.63114,1.85621,0.0003532,0.0003532,0.0003532
100,2227.83,0.90988,0.86034,1.28894,0.65407,0.6093,0.6154,0.48274,1.51808,1.64726,1.85494,0.0003466,0.0003466,0.0003466
101,2249.85,0.92885,0.87258,1.29616,0.63526,0.61147,0.61542,0.49247,1.52129,1.6371,1.86625,0.00034,0.00034,0.00034
102,2272.04,0.91878,0.86952,1.28693,0.6377,0.61399,0.61582,0.48862,1.52611,1.63449,1.85649,0.0003334,0.0003334,0.0003334
103,2293.84,0.90452,0.83893,1.27015,0.64986,0.6202,0.62159,0.48959,1.51186,1.64124,1.86143,0.0003268,0.0003268,0.0003268
104,2315.63,0.92482,0.86262,1.28258,0.64963,0.62621,0.61486,0.48938,1.50872,1.62438,1.86192,0.0003202,0.0003202,0.0003202
105,2337.62,0.90166,0.82806,1.2721,0.64874,0.61829,0.61522,0.48856,1.53717,1.65228,1.87827,0.0003136,0.0003136,0.0003136
106,2359.53,0.90012,0.83323,1.27154,0.6719,0.59534,0.61126,0.48509,1.52948,1.6564,1.87115,0.000307,0.000307,0.000307
107,2381.45,0.90724,0.83596,1.27123,0.66822,0.59315,0.6163,0.49192,1.52067,1.63391,1.87861,0.0003004,0.0003004,0.0003004
108,2403.24,0.90743,0.83132,1.26971,0.63261,0.61649,0.61178,0.4854,1.53167,1.65117,1.88577,0.0002938,0.0002938,0.0002938
109,2425.68,0.89069,0.83086,1.26088,0.65587,0.60613,0.61986,0.48705,1.52409,1.64344,1.88604,0.0002872,0.0002872,0.0002872
110,2447.83,0.87205,0.7933,1.24507,0.6702,0.60617,0.62106,0.49446,1.50647,1.6461,1.85384,0.0002806,0.0002806,0.0002806
111,2469.7,0.87814,0.81618,1.25231,0.63362,0.62214,0.6185,0.49515,1.52301,1.63733,1.88774,0.000274,0.000274,0.000274
112,2492.07,0.88081,0.81298,1.24999,0.6872,0.59365,0.62536,0.49582,1.53126,1.6346,1.88424,0.0002674,0.0002674,0.0002674
113,2514.25,0.86507,0.78796,1.23643,0.64329,0.60803,0.62018,0.49346,1.52247,1.65982,1.87838,0.0002608,0.0002608,0.0002608
114,2536,0.86594,0.78454,1.23867,0.68745,0.60204,0.62786,0.49975,1.52144,1.60358,1.87675,0.0002542,0.0002542,0.0002542
115,2557.95,0.86698,0.79077,1.24605,0.67542,0.60627,0.62201,0.49316,1.53713,1.63919,1.89483,0.0002476,0.0002476,0.0002476
116,2579.8,0.85856,0.77723,1.24117,0.69522,0.59173,0.62552,0.49621,1.52436,1.63576,1.88623,0.000241,0.000241,0.000241
117,2602.11,0.85884,0.77334,1.23233,0.66675,0.60353,0.61845,0.49438,1.53209,1.65532,1.89035,0.0002344,0.0002344,0.0002344
118,2623.86,0.85357,0.76777,1.2314,0.65101,0.60835,0.62059,0.49733,1.52519,1.62595,1.87752,0.0002278,0.0002278,0.0002278
119,2645.66,0.84541,0.76289,1.22509,0.67047,0.60663,0.62274,0.49579,1.52633,1.62207,1.89423,0.0002212,0.0002212,0.0002212
120,2667.52,0.83784,0.76009,1.22031,0.6683,0.61681,0.62745,0.49636,1.52374,1.63198,1.89031,0.0002146,0.0002146,0.0002146
121,2689.27,0.84146,0.75791,1.2178,0.66338,0.61535,0.62218,0.49243,1.52019,1.65466,1.88526,0.000208,0.000208,0.000208
122,2711.08,0.84074,0.7493,1.21883,0.66732,0.62096,0.62571,0.49752,1.53007,1.62952,1.8931,0.0002014,0.0002014,0.0002014
123,2733.26,0.83756,0.74115,1.21444,0.66803,0.60871,0.62492,0.49716,1.52779,1.64828,1.88382,0.0001948,0.0001948,0.0001948
124,2755.07,0.8385,0.73396,1.21787,0.66405,0.6188,0.62039,0.49365,1.53673,1.6478,1.8945,0.0001882,0.0001882,0.0001882
